Peak,Reporting_Limit,10-12-24-KDP-01,10-12-24-KDP-02,10-12-24-KDP-03,10-18-24-KDP-01,10-18-24-KDP-02,10-18-24-KDP-03,10-18-24-KDP-04,10-18-24-KDP-05,10-18-24-KDP-06,10-18-24-KDP-07,10-18-24-KDP-08,10-18-24-KDP-09,10-18-24-KDP-10,10-18-24-CKS-1,10-18-24-CKS-2,10-18-24-CKS-3,10-18-24-CKS-4,10-18-24-CKS-5,10-18-24-CKS-6,10-18-24-CKS-7,10-18-24-CKS-8,10-18-24-CKS-9
"1,2,4-Trimethylbenzene",1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
1-Methylpropylbenzene (sec-butylbenzene),1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
"1,3-Dichlorobenzene",1,0.0123,0.0115,0.0092,0.0077,n.a./n.r.,n.a./n.r.,0.0063,n.a./n.r.,0.0073,0.0051,n.a./n.r.,n.a./n.r.,n.a./n.r.,0.0233,0.0144,0.0124,n.a./n.r.,0.0064,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
4-Isopropyltoluene (p-cymene) ,1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
"1,4-Dichlorobenzene-d4 [IS4]",n.a.,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"1,4-Dichlorobenzene",1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
n-Butylbenzene,1,0.0114,0.0081,n.a./n.r.,0.0064,n.a./n.r.,n.a./n.r.,n.a./n.r.,0.0044,0.0055,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,0.0199,0.0127,0.0105,0.0138,0.0079,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
"1,2-Dichlorobenzene",1,0.0119,0.0116,0.0081,0.0109,0.0097,n.a./n.r.,n.a./n.r.,0.0097,0.0084,n.a./n.r.,0.0082,n.a./n.r.,n.a./n.r.,0.0196,0.0118,0.0123,0.0106,n.a./n.r.,n.a./n.r.,0.0064,n.a./n.r.,n.a./n.r.
Hexachloroethane,1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
"1,2-Dibromo-3-chloropropane (DBCP)",1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
Nitrobenzene,5,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
"1,2,4-Trichlorobenzene",1,0.0216,0.0179,0.012,0.0122,0.0103,0.0134,0.011,0.0109,n.a./n.r.,n.a./n.r.,n.a./n.r.,0.0078,0.0072,0.0394,0.0203,n.a./n.r.,0.0166,n.a./n.r.,0.0122,n.a./n.r.,n.a./n.r.,0.0084
"Hexachloro-1,3-butadiene",1,0.0129,n.a./n.r.,0.0039,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,0.0022,n.a./n.r.,0.0034,0.0227,0.0108,0.0113,n.a./n.r.,n.a./n.r.,n.a./n.r.,0.0049,n.a./n.r.,n.a./n.r.
Naphthalene,0.5,0.0239,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,0.0335,0.0062,0.014,n.a./n.r.,n.a./n.r.,n.a./n.r.,0.0627,0.0158,0.024,n.a./n.r.,0.007,n.a./n.r.,0.0367,0.0067,0.0157
"1,2,3-Trichlorobenzene",1,0.0123,n.a./n.r.,0.0097,0.0134,0.0116,0.0096,n.a./n.r.,n.a./n.r.,n.a./n.r.,0.0082,n.a./n.r.,n.a./n.r.,0.0073,0.0318,0.0174,0.0151,0.0119,0.0086,0.0082,0.0081,n.a./n.r.,n.a./n.r.
