Peak,Reporting_Limit,10-9-23-JI-01,10-9-23-JI-02,10-9-23-JI-03,10-9-23-JI-04,10-3-23-JI-05,UR-Tank,,,,,
Chloromethane (methyl chloride),1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,,,,,
Chloroethene (vinyl chloride) ,1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,,,,,
Bromomethane (methyl bromide),1,0.1046,0.0884,0.1062,0.1007,0.0964,0.0858,,,,,
Chloroethane (ethyl chloride),1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,,,,,
Trichlorofluoromethane,1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,,,,,
Diethyl ether,1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,,,,,
"1,1-Dichloroethene",1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,,,,,
Acetone,1.8,6.1333,13.3334,6.1811,8.242,9.4437,10.9961,,,,,
Iodomethane,1,0.1162,0.0899,0.1011,n.a./n.r.,0.1194,0.1034,,,,,
Carbon disulfide,1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,,,,,
3-Chloropropene (allyl chloride),1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,,,,,
Methylene chloride (DCM),1,n.a./n.r.,0.035,n.a./n.r.,n.a./n.r.,0.0224,n.a./n.r.,,,,,
"trans-1,2-Dichloroethene",1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,,,,,
Methyl tert-butyl ether (MTBE) ,1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,,,,,
