Peak,Reporting_Limit,Z-1,W-1,X-1
"1,2,3-Trichloropropane (TCP)",2,n.a./n.r.,n.a./n.r.,n.a./n.r.
"trans-1,4-Dichloro-2-butene",2,n.a./n.r.,n.a./n.r.,n.a./n.r.
n-Propylbenzene,2,n.a./n.r.,n.a./n.r.,n.a./n.r.
2-Chlorotoluene,2,n.a./n.r.,n.a./n.r.,n.a./n.r.
"1,3,5-Trimethylbenzene",2,n.a./n.r.,n.a./n.r.,n.a./n.r.
4-Chlorotoluene,2,n.a./n.r.,n.a./n.r.,n.a./n.r.
tert-Butylbenzene,2,n.a./n.r.,n.a./n.r.,n.a./n.r.
Pentachloroethane,2,n.a./n.r.,n.a./n.r.,n.a./n.r.
"1,2,4-Trimethylbenzene",2,n.a./n.r.,n.a./n.r.,n.a./n.r.
1-Methylpropylbenzene (sec-butylbenzene),2,n.a./n.r.,n.a./n.r.,n.a./n.r.
"1,3-Dichlorobenzene",2,n.a./n.r.,n.a./n.r.,n.a./n.r.
4-Isopropyltoluene (p-cymene) ,2,n.a./n.r.,n.a./n.r.,n.a./n.r.
"IS4 1,4-Dichlorobenzene-d4",n.a.,20,20,20
"1,4-Dichlorobenzene",2,n.a./n.r.,n.a./n.r.,n.a./n.r.
"1,2-Dichlorobenzene",2,n.a./n.r.,0.0333,0.0163
n-Butylbenzene,2,n.a./n.r.,n.a./n.r.,n.a./n.r.
Hexachloroethane,2,n.a./n.r.,n.a./n.r.,n.a./n.r.
"1,2-Dibromo-3-chloropropane (DBCP)",2,n.a./n.r.,n.a./n.r.,n.a./n.r.
Nitrobenzene,2,n.a./n.r.,n.a./n.r.,n.a./n.r.
"1,2,4-Trichlorobenzene",2,n.a./n.r.,n.a./n.r.,n.a./n.r.
"Hexachloro-1,3-butadiene",2,n.a./n.r.,n.a./n.r.,n.a./n.r.
Naphthalene,2,n.a./n.r.,n.a./n.r.,n.a./n.r.
"1,2,3-Trichlorobenzene",2,n.a./n.r.,n.a./n.r.,n.a./n.r.
