Peak,Reporting_Limit,08-23-CKS-21A,21A (42x),08-23-CKS-21B,08-23-CKS-22,08-23-CKS-23,Holmes Tap,08-23-CKS-Chris Blank,08-25-CKS-34,08-25-CKS-33,08-25-CKS-32,08-25-CKS-35,09-01-CKS-61,09-01-CKS-62
o-Xylene,1,n.a./n.r.,n.a./n.r.,0.0311,n.a./n.r.,0.0309,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
Styrene,1,n.a./n.r.,n.a./n.r.,0.0414,0.0248,0.021,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,0.0122,n.a./n.r.,n.a./n.r.,n.a./n.r.
Bromoform,1,0.0289,n.a./n.r.,0.1828,0.2875,0.3262,4.3875,n.a./n.r.,0.0043,0.2414,n.a./n.r.,0.1386,0.0143,n.a./n.r.
Isopropylbenzene (cumene) ,1,0.0304,n.a./n.r.,0.0246,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
"1-Bromo-4-fluorobenzene (BFB,SS3)",n.a.,11.2229,11.2258,10.6434,11.1021,11.1654,11.1345,11.3253,11.0953,11.1372,11.3256,11.211,10.9279,11.1695
Bromobenzene,1,0.0591,0.0199,0.0477,0.0318,0.0205,0.0106,0.012,0.0145,n.a./n.r.,0.009,n.a./n.r.,n.a./n.r.,n.a./n.r.
"1,1,2,2-Tetrachloroethane",1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
"1,2,3-Trichloropropane (TCP)",1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
"trans-1,4-Dichloro-2-butene",1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
n-Propylbenzene,1,0.0637,n.a./n.r.,0.0524,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
2-Chlorotoluene,1,0.0466,n.a./n.r.,0.0211,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
"1,3,5-Trimethylbenzene",1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,0.0107,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,0.0094
4-Chlorotoluene,1,0.0692,0.0323,0.0546,0.0306,0.023,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
tert-Butylbenzene,1,n.a./n.r.,n.a./n.r.,0.013,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
Pentachloroethane,1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
"1,2,4-Trimethylbenzene",1,0.0535,0.0288,n.a./n.r.,n.a./n.r.,n.a./n.r.,0.0198,n.a./n.r.,0.0204,0.0194,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
1-Methylpropylbenzene (sec-butylbenzene),1,0.0416,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
"1,3-Dichlorobenzene",1,0.0859,0.046,0.0764,0.052,0.0328,0.0225,0.0263,0.0219,0.0213,0.0176,0.0144,0.0184,0.0164
4-Isopropyltoluene (p-cymene) ,1,0.0511,n.a./n.r.,0.1119,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
"IS4 1,4-Dichlorobenzene-d4",n.a.,10,10,10,10,10,10,10,10,10,10,10,10,10
"1,4-Dichlorobenzene",1,0.0935,0.0529,0.0917,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
"1,2-Dichlorobenzene",1,0.0706,0.0358,0.0605,0.0423,0.0285,0.0251,0.0247,0.0222,0.0232,0.0226,0.0193,0.0177,0.0196
n-Butylbenzene,1,0.0898,0.038,0.0878,0.0436,0.0282,0.0167,0.019,0.0189,0.0184,0.0193,0.0154,0.0128,0.0112
Hexachloroethane,1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
"1,2-Dibromo-3-chloropropane (DBCP)",1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
Nitrobenzene,1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
"1,2,4-Trichlorobenzene",1,0.1201,0.0871,0.1452,0.0883,0.053,0.043,0.0442,0.0427,n.a./n.r.,0.037,n.a./n.r.,n.a./n.r.,n.a./n.r.
"Hexachloro-1,3-butadiene",1,0.107,0.0636,0.0967,0.0477,0.0333,n.a./n.r.,n.a./n.r.,0.0222,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
Naphthalene,1,0.0725,0.0699,0.1095,0.0504,0.0911,0.033,0.0283,0.028,0.0213,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
"1,2,3-Trichlorobenzene",1,0.114,0.0941,0.1216,0.0782,n.a./n.r.,n.a./n.r.,0.0355,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
