Peak,Reporting_Limit,06-14-KDP-01,06-14-KDP-02,06-14-KDP-03,06-14-KDP-04,06-14-KDP-05,06-14-KDP-06,06-14-KDP-07,06-14-KDP-08,06-14-KDP-09,06-14-KDP-10,06-14-KDP-11,06-14-KDP-12,06-14-KDP-13,06-14-KDP-14,06-14-KDP-15,06-14-KDP-16,06-14-KDP-17,06-14-KDP-18,06-14-KDP-19,06-14-KDP-20
Chloromethane (methyl chloride),1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,0.1871,n.a./n.r.,n.a./n.r.,n.a./n.r.
Chloroethene (vinyl chloride),1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
Bromomethane (methyl bromide),1,0.2078,0.213,0.2319,0.2259,0.1637,0.1738,0.2482,0.1826,0.1557,0.2344,0.1778,0.1505,0.2365,0.1982,0.1909,0.247,0.2408,0.1811,0.2214,0.1524
Chloroethane (ethyl chloride),1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
Trichlorofluoromethane,1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
Diethyl ether,1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
"1,1-Dichloroethene",1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
Acetone,2,11.1614,11.3398,3.5006,11.8777,8.191,8.5964,16.4678,12.7898,12.9059,2.9743,11.9689,7.1938,19.3962,13.1882,7.6846,16.6224,21.1199,4.2337,13.8034,15.2296
Iodomethane,1,0.1379,n.a./n.r.,0.1385,0.1253,n.a./n.r.,0.1317,0.1312,n.a./n.r.,n.a./n.r.,0.1305,0.1092,n.a./n.r.,n.a./n.r.,0.1064,n.a./n.r.,n.a./n.r.,0.1091,0.0812,0.0961,n.a./n.r.
Carbon disulfide,1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,0.1441,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
