Peak Name,Amount
Chloromethane (methyl chloride),10
Chloroethene (vinyl chloride),10
Bromomethane (methyl bromide),10
Chloroethane (ethyl chloride),10
Trichlorofluoromethane,10
Diethyl ether,10
"1,1-Dichloroethene",10
Acetone,18
Iodomethane,10
Carbon disulfide,10
3-Chloropropene (allyl chloride),10
Methylene chloride (DCM),10
"trans-1,2-Dichloroethene",10
Methyl tert-butyl ether (MTBE),10
"1,1-Dichloroethane",10
"2,2-Dichloropropane",10
"cis-1,2-Dichloroethene",10
2-Butanone (MEK),18
Methyl acrylate,10
Methacrylonitrile,10
Bromochloromethane,10
Tetrahydrofuran,10
Trichloromethane (chloroform),10
"1,1,1-Trichloroethane",10
1-Chlorobutane (butyl chloride),10
Carbon tetrachloride,10
"1,1-Dichloropropene",10
Benzene,10
"1,2-Dichloroethane",10
Trichloroethene,10
"1,2-Dichloropropane",10
Dibromomethane,10
Methyl methacrylate,10
Bromodichloromethane,10
2-Nitropropane,10
"cis-1,3-Dichloropropene",10
4-Methyl-2-pentanone (MIBK),18
Toluene,10
"trans-1,3-Dichloropropene",10
Ethyl methacrylate,10
"1,1,2-Trichloroethane",10
Tetrachloroethene,10
"1,3-Dichloropropane",10
2-Hexanone,18
Dibromochloromethane,10
"1,2-Dibromoethane (EDB)",10
Chlorobenzene,10
"1,1,1,2-Tetrachloroethane",10
Ethylbenzene,10
m/p-Xylene,10
o-Xylene,10
Styrene,10
Bromoform,10
Isopropylbenzene (cumene),10
Bromobenzene,10
"1,1,2,2-Tetrachloroethane",10
"1,2,3-Trichloropropane (TCP)",10
"trans-1,4-Dichloro-2-butene",10
n-Propylbenzene,10
2-Chlorotoluene,10
"1,3,5-Trimethylbenzene",10
4-Chlorotoluene,10
tert-Butylbenzene,10
Pentachloroethane,10
"1,2,4-Trimethylbenzene",10
1-Methylpropylbenzene (sec-butylbenzene),10
"1,3-Dichlorobenzene",10
4-Isopropyltoluene (p-cymene),10
"1,4-Dichlorobenzene",10
n-Butylbenzene,10
"1,2-Dichlorobenzene",10
Hexachloroethane,10
"1,2-Dibromo-3-chloropropane (DBCP)",10
Nitrobenzene,10
"1,2,4-Trichlorobenzene",10
"Hexachloro-1,3-butadiene",10
Naphthalene,10
"1,2,3-Trichlorobenzene",10
